model,code,guesses,optimal_guesses,certainty_errors,reasoning_time,format_errors,input_tokens,reasoning_tokens,output_tokens
o3-mini,5483,7,4,0,173,0,4004,40320,97
o3-mini,0268,7,4,2,168,0,4004,41728,95
o3-mini,1057,5,4,0,57,0,2750,12800,68
o3-mini,7960,7,6,1,161,0,4004,39936,94
o3-mini,9872,7,4,0,115,0,4004,28096,98
o3-mini,3796,5,4,1,139,0,2750,31936,68
o3-mini,4829,6,5,1,217,0,3366,41984,81
o3-mini,9761,5,4,0,176,0,2750,43200,69
o3-mini,2386,7,7,0,143,0,4004,35968,94
o3-mini,5384,5,3,1,167,0,2750,41216,71
o3-mini,0725,5,4,1,71,0,2750,16512,65
o3-mini,8034,7,5,0,213,0,4004,53120,103
o3-mini,4365,6,4,2,253,0,3366,41984,83
o3-mini,6147,5,4,1,135,0,2750,27904,67
o3-mini,5419,6,4,0,117,0,3366,26752,81
o3-mini,5493,6,5,0,145,0,3366,35008,83
o3-mini,8249,7,4,2,212,0,4004,52160,101
o3-mini,2953,7,4,1,137,0,4004,30528,93
o3-mini,1307,7,3,0,150,0,4004,36928,93
o3-mini,0346,6,5,0,113,0,3366,21568,88
o1,5483,6,6,0,279,0,3366,37824,100
o1,0268,6,3,0,335,0,3366,45696,81
o1,1057,6,4,1,267,0,3366,36288,81
o1,7960,9,4,3,599,0,5346,81472,144
o1,9872,6,6,1,276,0,3366,38336,81
o1,3796,8,6,1,385,0,4664,52480,113
o1,4829,5,5,1,241,0,2750,26240,84
o1,9761,6,3,1,312,0,3366,42560,80
o1,2386,7,5,1,338,0,4004,46592,94
o1,5384,6,3,0,207,0,3366,28736,90
o1,0725,6,5,0,238,0,3366,32960,115
o1,8034,7,7,1,374,0,4004,50752,119
o1,4365,5,5,0,270,0,2750,37184,109
o1,6147,7,5,2,300,0,4004,40512,122
o1,5419,7,6,0,249,0,4004,33408,94
o1,5493,6,5,1,385,0,3366,52928,97
o1,8249,8,4,0,513,0,4664,69952,121
o1,2953,8,4,0,561,0,4664,77120,107
o1,1307,5,3,1,209,0,2750,28928,68
o1,0346,5,4,1,377,0,2750,49856,107
