--------------------------------
Model: o3-mini
Code to break: 5483
--------------------------------

- 1 -
Guess:             1234?
Score:             Correct position: 0, Wrong position: 2
Optimal guess:     yes
Correct certainty: yes
Combinations left: 1260
Reasoning time:    2 seconds
Input tokens:      506
Reasoning tokens:  128
Output tokens:     13

- 2 -
Guess:             4617?
Score:             Correct position: 0, Wrong position: 1
Optimal guess:     yes
Correct certainty: yes
Combinations left: 312
Reasoning time:    18 seconds
Input tokens:      528
Reasoning tokens:  3520
Output tokens:     14

- 3 -
Guess:             1305?
Score:             Correct position: 0, Wrong position: 2
Optimal guess:     no
Correct certainty: yes
Combinations left: 85
Reasoning time:    20 seconds
Input tokens:      550
Reasoning tokens:  4864
Output tokens:     13

- 4 -
Guess:             3891?
Score:             Correct position: 0, Wrong position: 2
Optimal guess:     yes
Correct certainty: yes
Combinations left: 23
Reasoning time:    33 seconds
Input tokens:      572
Reasoning tokens:  7936
Output tokens:     14

- 5 -
Guess:             1358?
Score:             Correct position: 0, Wrong position: 3
Optimal guess:     no
Correct certainty: yes
Combinations left: 3
Reasoning time:    43 seconds
Input tokens:      594
Reasoning tokens:  10048
Output tokens:     13

- 6 -
Guess:             5438?
Score:             Correct position: 2, Wrong position: 2
Optimal guess:     no
Correct certainty: yes
Combinations left: 1
Reasoning time:    41 seconds
Input tokens:      616
Reasoning tokens:  10048
Output tokens:     13

- 7 -
Guess:             5483!
Score:             Correct position: 4, Wrong position: 0
Optimal guess:     yes
Correct certainty: yes
Combinations left: 1
Reasoning time:    16 seconds
Input tokens:      638
Reasoning tokens:  3776
Output tokens:     17

Code broken in 7 guesses.

--------------------------------
Model: o3-mini
Code to break: 0268
--------------------------------

- 1 -
Guess:             0123?
Score:             Correct position: 1, Wrong position: 1
Optimal guess:     yes
Correct certainty: yes
Combinations left: 720
Reasoning time:    1 seconds
Input tokens:      506
Reasoning tokens:  64
Output tokens:     13

- 2 -
Guess:             0415?
Score:             Correct position: 1, Wrong position: 0
Optimal guess:     yes
Correct certainty: yes
Combinations left: 76
Reasoning time:    7 seconds
Input tokens:      528
Reasoning tokens:  1600
Output tokens:     13

- 3 -
Guess:             4015?
Score:             Correct position: 0, Wrong position: 1
Optimal guess:     no
Correct certainty: yes
Combinations left: 56
Reasoning time:    22 seconds
Input tokens:      550
Reasoning tokens:  5760
Output tokens:     13

- 4 -
Guess:             0678?
Score:             Correct position: 2, Wrong position: 1
Optimal guess:     no
Correct certainty: yes
Combinations left: 8
Reasoning time:    39 seconds
Input tokens:      572
Reasoning tokens:  10048
Output tokens:     13

- 5 -
Guess:             0236?
Score:             Correct position: 2, Wrong position: 1
Optimal guess:     no
Correct certainty: yes
Combinations left: 3
Reasoning time:    36 seconds
Input tokens:      594
Reasoning tokens:  9088
Output tokens:     14

- 6 -
Guess:             0376!
Score:             Correct position: 1, Wrong position: 1
Optimal guess:     yes
Correct certainty: no
Combinations left: 1
Reasoning time:    24 seconds
Input tokens:      616
Reasoning tokens:  5184
Output tokens:     14

- 7 -
Guess:             0268?
Score:             Correct position: 4, Wrong position: 0
Optimal guess:     yes
Correct certainty: no
Combinations left: 1
Reasoning time:    39 seconds
Input tokens:      638
Reasoning tokens:  9984
Output tokens:     15

Code broken in 7 guesses.

--------------------------------
Model: o3-mini
Code to break: 1057
--------------------------------

- 1 -
Guess:             1234?
Score:             Correct position: 1, Wrong position: 0
Optimal guess:     yes
Correct certainty: yes
Combinations left: 480
Reasoning time:    1 seconds
Input tokens:      506
Reasoning tokens:  64
Output tokens:     13

- 2 -
Guess:             1056?
Score:             Correct position: 3, Wrong position: 0
Optimal guess:     yes
Correct certainty: yes
Combinations left: 9
Reasoning time:    14 seconds
Input tokens:      528
Reasoning tokens:  3136
Output tokens:     13

- 3 -
Guess:             1076?
Score:             Correct position: 2, Wrong position: 1
Optimal guess:     yes
Correct certainty: yes
Combinations left: 2
Reasoning time:    13 seconds
Input tokens:      550
Reasoning tokens:  3008
Output tokens:     13

- 4 -
Guess:             1750?
Score:             Correct position: 2, Wrong position: 2
Optimal guess:     no
Correct certainty: yes
Combinations left: 1
Reasoning time:    15 seconds
Input tokens:      572
Reasoning tokens:  3712
Output tokens:     13

- 5 -
Guess:             1057!
Score:             Correct position: 4, Wrong position: 0
Optimal guess:     yes
Correct certainty: yes
Combinations left: 1
Reasoning time:    14 seconds
Input tokens:      594
Reasoning tokens:  2880
Output tokens:     16

Code broken in 5 guesses.

--------------------------------
Model: o3-mini
Code to break: 7960
--------------------------------

- 1 -
Guess:             0123?
Score:             Correct position: 0, Wrong position: 1
Optimal guess:     yes
Correct certainty: yes
Combinations left: 1440
Reasoning time:    2 seconds
Input tokens:      506
Reasoning tokens:  128
Output tokens:     13

- 2 -
Guess:             4506?
Score:             Correct position: 0, Wrong position: 2
Optimal guess:     yes
Correct certainty: yes
Combinations left: 369
Reasoning time:    8 seconds
Input tokens:      528
Reasoning tokens:  1728
Output tokens:     13

- 3 -
Guess:             0178?
Score:             Correct position: 0, Wrong position: 2
Optimal guess:     no
Correct certainty: yes
Combinations left: 92
Reasoning time:    20 seconds
Input tokens:      550
Reasoning tokens:  5056
Output tokens:     14

- 4 -
Guess:             9047?
Score:             Correct position: 0, Wrong position: 3
Optimal guess:     yes
Correct certainty: yes
Combinations left: 6
Reasoning time:    35 seconds
Input tokens:      572
Reasoning tokens:  8320
Output tokens:     14

- 5 -
Guess:             8490!
Score:             Correct position: 1, Wrong position: 1
Optimal guess:     yes
Correct certainty: no
Combinations left: 2
Reasoning time:    20 seconds
Input tokens:      594
Reasoning tokens:  5056
Output tokens:     13

- 6 -
Guess:             7950?
Score:             Correct position: 3, Wrong position: 0
Optimal guess:     yes
Correct certainty: yes
Combinations left: 1
Reasoning time:    38 seconds
Input tokens:      616
Reasoning tokens:  9728
Output tokens:     14

- 7 -
Guess:             7960!
Score:             Correct position: 4, Wrong position: 0
Optimal guess:     yes
Correct certainty: yes
Combinations left: 1
Reasoning time:    38 seconds
Input tokens:      638
Reasoning tokens:  9920
Output tokens:     13

Code broken in 7 guesses.

--------------------------------
Model: o3-mini
Code to break: 9872
--------------------------------

- 1 -
