model,code,nr,guess,combinations_left,optimal_guess
o3-mini,5483,1,1234,1260,yes
o3-mini,5483,2,4617,312,yes
o3-mini,5483,3,1305,85,no
o3-mini,5483,4,3891,23,yes
o3-mini,5483,5,1358,3,no
o3-mini,5483,6,5438,1,no
o3-mini,5483,7,5483,1,yes
o3-mini,0268,1,0123,720,yes
o3-mini,0268,2,0415,76,yes
o3-mini,0268,3,4015,56,no
o3-mini,0268,4,0678,8,no
o3-mini,0268,5,0236,3,no
o3-mini,0268,6,0376,1,yes
o3-mini,0268,7,0268,1,yes
o3-mini,1057,1,1234,480,yes
o3-mini,1057,2,1056,9,yes
o3-mini,1057,3,1076,2,yes
o3-mini,1057,4,1750,1,no
o3-mini,1057,5,1057,1,yes
o3-mini,7960,1,0123,1440,yes
o3-mini,7960,2,4506,369,yes
o3-mini,7960,3,0178,92,no
o3-mini,7960,4,9047,6,yes
o3-mini,7960,5,8490,2,yes
o3-mini,7960,6,7950,1,yes
o3-mini,7960,7,7960,1,yes
o3-mini,9872,1,0123,1440,yes
o3-mini,9872,2,4056,54,yes
o3-mini,9872,3,7892,5,yes
o3-mini,9872,4,7928,3,no
o3-mini,9872,5,9728,2,no
o3-mini,9872,6,7289,2,no
o3-mini,9872,7,9872,1,yes
o3-mini,3796,1,1234,1440,yes
o3-mini,3796,2,0156,126,yes
o3-mini,3796,3,7820,28,no
o3-mini,3796,4,4759,5,yes
o3-mini,3796,5,3796,1,yes
o3-mini,4829,1,0123,480,yes
o3-mini,4829,2,4157,42,yes
o3-mini,4829,3,0658,8,yes
o3-mini,4829,4,4927,2,no
o3-mini,4829,5,9827,1,yes
o3-mini,4829,6,4829,1,yes
o3-mini,9761,1,1234,1440,yes
o3-mini,9761,2,5078,216,no
o3-mini,9761,3,2769,12,yes
o3-mini,9761,4,2609,2,yes
o3-mini,9761,5,9761,1,yes
o3-mini,2386,1,0123,1260,yes
o3-mini,2386,2,6207,284,yes
o3-mini,2386,3,1046,32,yes
o3-mini,2386,4,3742,9,yes
o3-mini,2386,5,2356,2,yes
o3-mini,2386,6,2396,1,yes
